,path,label
1204,train\disgust\Training_70228475.jpg,1
4408,train\neutral\Training_80535960.jpg,4
6930,train\surprise\Training_69915378.jpg,6
7079,train\surprise\Training_74556123.jpg,6
2954,train\happy\Training_82624488.jpg,3
4226,train\neutral\Training_76985122.jpg,4
430,train\angry\Training_91252094.jpg,0
4967,train\neutral\Training_91819322.jpg,4
2084,train\fear\Training_91703839.jpg,2
3047,train\happy\Training_83968343.jpg,3
7524,train\surprise\Training_88690760.jpg,6
4514,train\neutral\Training_82862654.jpg,4
5329,train\neutral\Training_98871196.jpg,4
7728,train\surprise\Training_95402552.jpg,6
6685,train\sad\Training_99823693.jpg,5
6609,train\sad\Training_98109843.jpg,5
4441,train\neutral\Training_81475985.jpg,4
2822,train\happy\Training_80529896.jpg,3
6793,train\surprise\Training_66306097.jpg,6
1806,train\fear\Training_84830323.jpg,2
7244,train\surprise\Training_79118199.jpg,6
1918,train\fear\Training_87719007.jpg,2
2659,train\happy\Training_78318067.jpg,3
3110,train\happy\Training_84799328.jpg,3
5460,train\sad\Training_73821059.jpg,5
1423,train\fear\Training_75607759.jpg,2
6277,train\sad\Training_90932329.jpg,5
1307,train\disgust\Training_89374221.jpg,1
3659,train\happy\Training_92135559.jpg,3
3840,train\happy\Training_94563969.jpg,3
809,train\angry\Training_99949469.jpg,0
3828,train\happy\Training_94370843.jpg,3
2992,train\happy\Training_83211056.jpg,3
2748,train\happy\Training_79609975.jpg,3
6319,train\sad\Training_92004023.jpg,5
937,train\disgust\Training_12122862.jpg,1
4634,train\neutral\Training_85123891.jpg,4
5033,train\neutral\Training_92970246.jpg,4
3945,train\happy\Training_96050526.jpg,3
5857,train\sad\Training_81788429.jpg,5
7616,train\surprise\Training_91416198.jpg,6
797,train\angry\Training_99654709.jpg,0
1680,train\fear\Training_81891525.jpg,2
1044,train\disgust\Training_37121508.jpg,1
3444,train\happy\Training_89046745.jpg,3
1399,train\fear\Training_75043527.jpg,2
3989,train\happy\Training_96617512.jpg,3
3505,train\happy\Training_90057178.jpg,3
2032,train\fear\Training_90442444.jpg,2
5316,train\neutral\Training_98626196.jpg,4
6822,train\surprise\Training_67204808.jpg,6
165,train\angry\Training_84359093.jpg,0
3090,train\happy\Training_84547562.jpg,3
7217,train\surprise\Training_78150560.jpg,6
2871,train\happy\Training_81308291.jpg,3
3236,train\happy\Training_86475261.jpg,3
7873,train\surprise\Training_99827442.jpg,6
1019,train\disgust\Training_31573701.jpg,1
1742,train\fear\Training_83577908.jpg,2
1652,train\fear\Training_81028057.jpg,2
5946,train\sad\Training_83995407.jpg,5
1520,train\fear\Training_77843989.jpg,2
1525,train\fear\Training_77963861.jpg,2
1035,train\disgust\Training_33936842.jpg,1
184,train\angry\Training_84887395.jpg,0
1801,train\fear\Training_84754634.jpg,2
640,train\angry\Training_96146427.jpg,0
3749,train\happy\Training_93299032.jpg,3
4133,train\happy\Training_98813790.jpg,3
3361,train\happy\Training_88031220.jpg,3
6708,train\surprise\Training_63790868.jpg,6
6894,train\surprise\Training_68807103.jpg,6
1329,train\disgust\Training_94719060.jpg,1
7379,train\surprise\Training_83984743.jpg,6
4085,train\happy\Training_98014225.jpg,3
6516,train\sad\Training_96192875.jpg,5
1493,train\fear\Training_77211803.jpg,2
2835,train\happy\Training_80731649.jpg,3
7197,train\surprise\Training_77691553.jpg,6
4571,train\neutral\Training_84012529.jpg,4
7187,train\surprise\Training_77329193.jpg,6
1354,train\disgust\Training_98917043.jpg,1
6125,train\sad\Training_87691484.jpg,5
1160,train\disgust\Training_61342142.jpg,1
623,train\angry\Training_95695995.jpg,0
3077,train\happy\Training_84388104.jpg,3
2729,train\happy\Training_79417898.jpg,3
4015,train\happy\Training_96982216.jpg,3
4413,train\neutral\Training_80732198.jpg,4
4973,train\neutral\Training_91985038.jpg,4
4264,train\neutral\Training_77759211.jpg,4
6029,train\sad\Training_85631658.jpg,5
6852,train\surprise\Training_68017031.jpg,6
5236,train\neutral\Training_97056113.jpg,4
2827,train\happy\Training_80588498.jpg,3
1190,train\disgust\Training_66604381.jpg,1
5140,train\neutral\Training_94887686.jpg,4
5883,train\sad\Training_82495488.jpg,5
2901,train\happy\Training_81818654.jpg,3
5825,train\sad\Training_81254738.jpg,5
60,train\angry\Training_81730099.jpg,0
6421,train\sad\Training_94333371.jpg,5
5222,train\neutral\Training_96825126.jpg,4
7232,train\surprise\Training_78982025.jpg,6
5892,train\sad\Training_82701922.jpg,5
733,train\angry\Training_98329457.jpg,0
3138,train\happy\Training_85297775.jpg,3
4197,train\happy\Training_99762935.jpg,3
3457,train\happy\Training_89217809.jpg,3
6771,train\surprise\Training_65838035.jpg,6
4449,train\neutral\Training_81514186.jpg,4
471,train\angry\Training_92435564.jpg,0
182,train\angry\Training_84867106.jpg,0
7802,train\surprise\Training_97921838.jpg,6
1009,train\disgust\Training_29347623.jpg,1
1401,train\fear\Training_75141373.jpg,2
6457,train\sad\Training_94930197.jpg,5
7087,train\surprise\Training_74677647.jpg,6
6341,train\sad\Training_92608446.jpg,5
5028,train\neutral\Training_92910271.jpg,4
480,train\angry\Training_92650254.jpg,0
6064,train\sad\Training_86273887.jpg,5
3157,train\happy\Training_85608667.jpg,3
64,train\angry\Training_81788734.jpg,0
2173,train\fear\Training_93599689.jpg,2
1281,train\disgust\Training_84519169.jpg,1
1945,train\fear\Training_88170709.jpg,2
378,train\angry\Training_90026754.jpg,0
3122,train\happy\Training_85045836.jpg,3
4783,train\neutral\Training_87943242.jpg,4
4708,train\neutral\Training_86541928.jpg,4
2266,train\fear\Training_95694963.jpg,2
2060,train\fear\Training_91027749.jpg,2
2462,train\happy\Training_75920236.jpg,3
1305,train\disgust\Training_89094363.jpg,1
2962,train\happy\Training_82773667.jpg,3
6018,train\sad\Training_85294622.jpg,5
4700,train\neutral\Training_86303811.jpg,4
1124,train\disgust\Training_54818097.jpg,1
4782,train\neutral\Training_87940418.jpg,4
1942,train\fear\Training_88096426.jpg,2
91,train\angry\Training_82435018.jpg,0
6853,train\surprise\Training_68026713.jpg,6
2902,train\happy\Training_81823600.jpg,3
3438,train\happy\Training_88964675.jpg,3
7127,train\surprise\Training_75798686.jpg,6
2643,train\happy\Training_78170044.jpg,3
1390,train\fear\Training_74772570.jpg,2
7262,train\surprise\Training_79625026.jpg,6
5786,train\sad\Training_80704106.jpg,5
6019,train\sad\Training_85343436.jpg,5
3392,train\happy\Training_88399527.jpg,3
2959,train\happy\Training_82699722.jpg,3
6072,train\sad\Training_86389033.jpg,5
7175,train\surprise\Training_76948346.jpg,6
424,train\angry\Training_91086491.jpg,0
7278,train\surprise\Training_79990886.jpg,6
4953,train\neutral\Training_91569169.jpg,4
1832,train\fear\Training_85417450.jpg,2
4661,train\neutral\Training_85542256.jpg,4
1612,train\fear\Training_80148127.jpg,2
2789,train\happy\Training_80090750.jpg,3
4884,train\neutral\Training_90068330.jpg,4
2889,train\happy\Training_81669901.jpg,3
626,train\angry\Training_95812869.jpg,0
5288,train\neutral\Training_97975245.jpg,4
1963,train\fear\Training_88673713.jpg,2
6305,train\sad\Training_91661584.jpg,5
6012,train\sad\Training_85221526.jpg,5
3445,train\happy\Training_89052541.jpg,3
7556,train\surprise\Training_89567115.jpg,6
5086,train\neutral\Training_93996981.jpg,4
4055,train\happy\Training_97642115.jpg,3
1171,train\disgust\Training_62886279.jpg,1
402,train\angry\Training_90498244.jpg,0
4705,train\neutral\Training_86424007.jpg,4
4785,train\neutral\Training_87954222.jpg,4
3449,train\happy\Training_89114155.jpg,3
2263,train\fear\Training_95580486.jpg,2
6110,train\sad\Training_87327068.jpg,5
862,train\disgust\PrivateTest_92933222.jpg,1
1458,train\fear\Training_76593622.jpg,2
628,train\angry\Training_95873270.jpg,0
6694,train\sad\Training_99950687.jpg,5
7630,train\surprise\Training_91818371.jpg,6
135,train\angry\Training_83744483.jpg,0
614,train\angry\Training_95585807.jpg,0
7251,train\surprise\Training_79253169.jpg,6
2505,train\happy\Training_76472582.jpg,3
5494,train\sad\Training_74502717.jpg,5
1721,train\fear\Training_83003340.jpg,2
1885,train\fear\Training_86668660.jpg,2
7394,train\surprise\Training_84527522.jpg,6
1679,train\fear\Training_81861307.jpg,2
7761,train\surprise\Training_96572434.jpg,6
6286,train\sad\Training_91159811.jpg,5
3877,train\happy\Training_95141906.jpg,3
679,train\angry\Training_96833574.jpg,0
145,train\angry\Training_83998595.jpg,0
1715,train\fear\Training_82820324.jpg,2
7059,train\surprise\Training_73772355.jpg,6
4048,train\happy\Training_97522289.jpg,3
2961,train\happy\Training_82748040.jpg,3
5146,train\neutral\Training_94956700.jpg,4
7126,train\surprise\Training_75794409.jpg,6
5968,train\sad\Training_84458220.jpg,5
5285,train\neutral\Training_97904226.jpg,4
865,train\disgust\PrivateTest_98799539.jpg,1
2829,train\happy\Training_80610214.jpg,3
7567,train\surprise\Training_89930272.jpg,6
257,train\angry\Training_86916560.jpg,0
3862,train\happy\Training_94937877.jpg,3
1786,train\fear\Training_84318721.jpg,2
6660,train\sad\Training_99147921.jpg,5
1876,train\fear\Training_86387892.jpg,2
1938,train\fear\Training_88081911.jpg,2
6229,train\sad\Training_89959053.jpg,5
5633,train\sad\Training_77502812.jpg,5
5654,train\sad\Training_77978390.jpg,5
4849,train\neutral\Training_89335926.jpg,4
1148,train\disgust\Training_59222915.jpg,1
7043,train\surprise\Training_73186886.jpg,6
1339,train\disgust\Training_96642479.jpg,1
7608,train\surprise\Training_91171774.jpg,6
4972,train\neutral\Training_91967364.jpg,4
6401,train\sad\Training_93896404.jpg,5
2038,train\fear\Training_90617831.jpg,2
5495,train\sad\Training_74568768.jpg,5
6166,train\sad\Training_88457267.jpg,5
4851,train\neutral\Training_89401036.jpg,4
360,train\angry\Training_89613328.jpg,0
2067,train\fear\Training_91282946.jpg,2
5184,train\neutral\Training_95872082.jpg,4
554,train\angry\Training_94409693.jpg,0
7339,train\surprise\Training_82158106.jpg,6
5505,train\sad\Training_74729984.jpg,5
4164,train\happy\Training_99183228.jpg,3
1532,train\fear\Training_78065842.jpg,2
1524,train\fear\Training_77949058.jpg,2
5996,train\sad\Training_85004943.jpg,5
5336,train\neutral\Training_98951914.jpg,4
7265,train\surprise\Training_79769703.jpg,6
106,train\angry\Training_82910553.jpg,0
1381,train\fear\Training_74553971.jpg,2
2523,train\happy\Training_76746482.jpg,3
859,train\disgust\PrivateTest_89077668.jpg,1
5937,train\sad\Training_83728811.jpg,5
3121,train\happy\Training_85035886.jpg,3
4118,train\happy\Training_98642129.jpg,3
4159,train\happy\Training_99119379.jpg,3
1483,train\fear\Training_76971391.jpg,2
5955,train\sad\Training_84135294.jpg,5
1736,train\fear\Training_83374391.jpg,2
3099,train\happy\Training_84635829.jpg,3
2417,train\fear\Training_99475657.jpg,2
2926,train\happy\Training_82209687.jpg,3
1534,train\fear\Training_78084428.jpg,2
7601,train\surprise\Training_91012806.jpg,6
2536,train\happy\Training_76857396.jpg,3
1875,train\fear\Training_86380480.jpg,2
3101,train\happy\Training_84671449.jpg,3
1603,train\fear\Training_79899145.jpg,2
2247,train\fear\Training_95214446.jpg,2
1757,train\fear\Training_83896158.jpg,2
788,train\angry\Training_99574658.jpg,0
5715,train\sad\Training_79107437.jpg,5
2991,train\happy\Training_83195992.jpg,3
2336,train\fear\Training_97571779.jpg,2
7636,train\surprise\Training_92044858.jpg,6
4574,train\neutral\Training_84041587.jpg,4
3091,train\happy\Training_84562948.jpg,3
1152,train\disgust\Training_59667296.jpg,1
2441,train\fear\Training_99902365.jpg,2
7787,train\surprise\Training_97424717.jpg,6
4115,train\happy\Training_98563726.jpg,3
3244,train\happy\Training_86563627.jpg,3
2229,train\fear\Training_94804759.jpg,2
6094,train\sad\Training_86979529.jpg,5
1127,train\disgust\Training_55341728.jpg,1
164,train\angry\Training_84325046.jpg,0
5635,train\sad\Training_77538613.jpg,5
7412,train\surprise\Training_85070699.jpg,6
7561,train\surprise\Training_89627155.jpg,6
6458,train\sad\Training_94979221.jpg,5
3032,train\happy\Training_83754392.jpg,3
5233,train\neutral\Training_97010208.jpg,4
767,train\angry\Training_99012230.jpg,0
3471,train\happy\Training_89445312.jpg,3
3432,train\happy\Training_88917842.jpg,3
3750,train\happy\Training_93300483.jpg,3
764,train\angry\Training_98985274.jpg,0
4540,train\neutral\Training_83279946.jpg,4
751,train\angry\Training_98585739.jpg,0
2860,train\happy\Training_81112150.jpg,3
3526,train\happy\Training_90344675.jpg,3
6285,train\sad\Training_91159308.jpg,5
2977,train\happy\Training_82958307.jpg,3
4204,train\happy\Training_99906271.jpg,3
4487,train\neutral\Training_82153895.jpg,4
7036,train\surprise\Training_73083745.jpg,6
609,train\angry\Training_95525008.jpg,0
5258,train\neutral\Training_97467364.jpg,4
6730,train\surprise\Training_64419022.jpg,6
3096,train\happy\Training_84620434.jpg,3
7220,train\surprise\Training_78256200.jpg,6
1747,train\fear\Training_83681377.jpg,2
7705,train\surprise\Training_94582829.jpg,6
5152,train\neutral\Training_95093678.jpg,4
1729,train\fear\Training_83259569.jpg,2
3430,train\happy\Training_88887868.jpg,3
2179,train\fear\Training_93811315.jpg,2
6116,train\sad\Training_87480895.jpg,5
4298,train\neutral\Training_78330619.jpg,4
4683,train\neutral\Training_86065327.jpg,4
2579,train\happy\Training_77366907.jpg,3
5842,train\sad\Training_81518690.jpg,5
6992,train\surprise\Training_71346717.jpg,6
377,train\angry\Training_90018744.jpg,0
3374,train\happy\Training_88201628.jpg,3
5408,train\sad\Training_72841025.jpg,5
6438,train\sad\Training_94607868.jpg,5
3963,train\happy\Training_96351569.jpg,3
1895,train\fear\Training_86949063.jpg,2
7658,train\surprise\Training_92666649.jpg,6
5493,train\sad\Training_74470648.jpg,5
6956,train\surprise\Training_70596042.jpg,6
971,train\disgust\Training_19915172.jpg,1
4982,train\neutral\Training_92057388.jpg,4
85,train\angry\Training_82270754.jpg,0
3273,train\happy\Training_86968205.jpg,3
1018,train\disgust\Training_31277732.jpg,1
3465,train\happy\Training_89343168.jpg,3
5859,train\sad\Training_81856707.jpg,5
1195,train\disgust\Training_67301317.jpg,1
5271,train\neutral\Training_97709842.jpg,4
2496,train\happy\Training_76356287.jpg,3
6348,train\sad\Training_92793097.jpg,5
3607,train\happy\Training_91403988.jpg,3
857,train\disgust\PrivateTest_87787006.jpg,1
5100,train\neutral\Training_94257884.jpg,4
155,train\angry\Training_84260061.jpg,0
3435,train\happy\Training_88933450.jpg,3
7574,train\surprise\Training_90187735.jpg,6
3352,train\happy\Training_87976258.jpg,3
2576,train\happy\Training_77330026.jpg,3
1309,train\disgust\Training_90061714.jpg,1
368,train\angry\Training_89746366.jpg,0
1732,train\fear\Training_83306587.jpg,2
448,train\angry\Training_91865442.jpg,0
3328,train\happy\Training_87698595.jpg,3
283,train\angry\Training_87649473.jpg,0
4712,train\neutral\Training_86579128.jpg,4
2632,train\happy\Training_77953618.jpg,3
933,train\disgust\Training_11871637.jpg,1
5017,train\neutral\Training_92659760.jpg,4
3759,train\happy\Training_93457887.jpg,3
7108,train\surprise\Training_75266026.jpg,6
2061,train\fear\Training_91035569.jpg,2
5080,train\neutral\Training_93890708.jpg,4
4650,train\neutral\Training_85413312.jpg,4
1327,train\disgust\Training_94080399.jpg,1
4143,train\happy\Training_98964049.jpg,3
2369,train\fear\Training_98441054.jpg,2
6200,train\sad\Training_89251669.jpg,5
852,train\disgust\PrivateTest_807646.jpg,1
3198,train\happy\Training_86020748.jpg,3
1372,train\fear\Training_74418289.jpg,2
5752,train\sad\Training_79807922.jpg,5
4430,train\neutral\Training_81148659.jpg,4
4537,train\neutral\Training_83268475.jpg,4
6740,train\surprise\Training_64747112.jpg,6
1137,train\disgust\Training_57040428.jpg,1
3509,train\happy\Training_90114457.jpg,3
7156,train\surprise\Training_76549136.jpg,6
2049,train\fear\Training_90788470.jpg,2
6071,train\sad\Training_86376977.jpg,5
3570,train\happy\Training_90922330.jpg,3
988,train\disgust\Training_24609766.jpg,1
6148,train\sad\Training_88102333.jpg,5
1215,train\disgust\Training_73540712.jpg,1
565,train\angry\Training_94588620.jpg,0
3305,train\happy\Training_87264328.jpg,3
2803,train\happy\Training_80254018.jpg,3
2069,train\fear\Training_91359583.jpg,2
1813,train\fear\Training_84955186.jpg,2
3725,train\happy\Training_93001555.jpg,3
5364,train\neutral\Training_99569677.jpg,4
4510,train\neutral\Training_82728288.jpg,4
7015,train\surprise\Training_72175686.jpg,6
1119,train\disgust\Training_5420780.jpg,1
7124,train\surprise\Training_75766605.jpg,6
1378,train\fear\Training_74485088.jpg,2
1847,train\fear\Training_85800493.jpg,2
3781,train\happy\Training_93725542.jpg,3
4689,train\neutral\Training_86151083.jpg,4
3143,train\happy\Training_85330746.jpg,3
1421,train\fear\Training_75577633.jpg,2
1950,train\fear\Training_88439345.jpg,2
1263,train\disgust\Training_81049148.jpg,1
6347,train\sad\Training_92784655.jpg,5
2857,train\happy\Training_81086374.jpg,3
6201,train\sad\Training_89255961.jpg,5
585,train\angry\Training_94970263.jpg,0
7470,train\surprise\Training_87098081.jpg,6
6997,train\surprise\Training_71494425.jpg,6
3786,train\happy\Training_93815998.jpg,3
6131,train\sad\Training_87839471.jpg,5
1097,train\disgust\Training_49380393.jpg,1
3565,train\happy\Training_90905222.jpg,3
7819,train\surprise\Training_98315142.jpg,6
2766,train\happy\Training_79868613.jpg,3
1198,train\disgust\Training_68677948.jpg,1
270,train\angry\Training_87448734.jpg,0
1964,train\fear\Training_88691232.jpg,2
2620,train\happy\Training_77868334.jpg,3
2404,train\fear\Training_99106712.jpg,2
2606,train\happy\Training_77690050.jpg,3
7387,train\surprise\Training_84278238.jpg,6
4458,train\neutral\Training_81598202.jpg,4
4952,train\neutral\Training_91567465.jpg,4
8,train\angry\Training_80820697.jpg,0
266,train\angry\Training_87246740.jpg,0
356,train\angry\Training_89489992.jpg,0
2164,train\fear\Training_93352298.jpg,2
4172,train\happy\Training_99283707.jpg,3
1143,train\disgust\Training_58164415.jpg,1
6096,train\sad\Training_87023803.jpg,5
7767,train\surprise\Training_96672701.jpg,6
2761,train\happy\Training_79832966.jpg,3
